date,mac_score,liquidity,valuation,positioning,volatility,policy,contagion,private_credit,interpretation,crisis_event,data_quality,momentum_1w,momentum_4w,trend_direction,mac_status,is_deteriorating
1907-01-01,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-01-08,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-01-15,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-01-22,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-01-29,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-02-05,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-02-12,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-02-19,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-02-26,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-03-05,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-03-12,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-03-19,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-03-26,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-04-02,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-04-09,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-04-16,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-04-23,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-04-30,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-05-07,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
1907-05-14,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.49999999999999994,"REGIME BREAK - Buffers exhausted, non-linear dynamics likely",,poor,,,unknown,CRITICAL,False
