date,mac_score,liquidity,valuation,positioning,volatility,policy,contagion,private_credit,interpretation,crisis_event,data_quality,momentum_1w,momentum_4w,trend_direction,mac_status,is_deteriorating
2018-01-01,0.4553166666666666,0.36,0.18721666666666667,0.5,0.2599999999999998,1.0,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,good,,,unknown,STRETCHED,False
2018-01-08,0.470247619047619,0.72,0.19173333333333334,0.5,0.0,1.0,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,good,0.014930952380952434,,stable,STRETCHED,False
2018-01-15,0.4725357142857143,0.69,0.19775,0.5,0.040000000000000036,1.0,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,good,0.0022880952380952557,,stable,STRETCHED,False
2018-01-22,0.5048190476190475,0.69,0.20623333333333335,0.5,0.25749999999999984,1.0,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,good,0.03228333333333322,0.04950238095238091,stable,CAUTIOUS,False
2018-01-29,0.609447619047619,0.66,0.20946666666666666,0.5,0.8066666666666666,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,good,0.10462857142857152,0.15413095238095242,improving,CAUTIOUS,False
2018-02-05,0.5612309523809523,0.7,0.21595,0.5,0.42266666666666663,1.0,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",Volmageddon,good,-0.048216666666666685,0.0909833333333333,improving,CAUTIOUS,False
2018-02-12,0.6299166666666667,0.7875,0.21891666666666665,0.5,0.813,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,good,0.06868571428571435,0.1573809523809524,improving,CAUTIOUS,False
2018-02-19,0.6460642857142858,0.7100000000000001,0.22245,0.5,1.0,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,good,0.016147619047619077,0.14124523809523826,improving,CAUTIOUS,False
2018-02-26,0.639797619047619,0.67,0.21858333333333335,0.5,1.0,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,good,-0.006266666666666754,0.030349999999999988,stable,CAUTIOUS,False
2018-03-05,0.6356119047619048,0.64,0.21928333333333336,0.5,1.0,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,good,-0.004185714285714237,0.07438095238095244,improving,CAUTIOUS,False
2018-03-12,0.62545,0.5700000000000001,0.21814999999999998,0.5,1.0,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,good,-0.010161904761904816,-0.00446666666666673,stable,CAUTIOUS,False
2018-03-19,0.6218761904761905,0.55,0.2131333333333333,0.5,1.0,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,good,-0.003573809523809479,-0.024188095238095286,stable,CAUTIOUS,False
2018-03-26,0.6098071428571429,0.5,0.21298333333333333,0.5,0.9656666666666667,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,good,-0.01206904761904759,-0.029990476190476123,stable,CAUTIOUS,False
2018-04-02,0.586695238095238,0.4333333333333333,0.20420000000000002,0.5,0.8793333333333333,1.0,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,good,-0.023111904761904833,-0.04891666666666672,declining,CAUTIOUS,False
2018-04-09,0.6687047619047619,0.9416666666666667,0.20826666666666668,0.5,0.9410000000000001,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,excellent,0.08200952380952387,0.04325476190476196,stable,COMFORTABLE,False
2018-04-16,0.6848476190476189,0.9916666666666667,0.2122666666666667,0.5,1.0,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,excellent,0.016142857142857014,0.06297142857142846,improving,COMFORTABLE,False
2018-04-23,0.6875499999999999,1.0,0.22285,0.5,1.0,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,excellent,0.002702380952380956,0.077742857142857,improving,COMFORTABLE,False
2018-04-30,0.6873642857142856,1.0,0.22155,0.5,1.0,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,excellent,-0.00018571428571423354,0.1006690476190476,improving,COMFORTABLE,False
2018-05-07,0.681342857142857,1.0,0.22106666666666666,0.5,0.9583333333333333,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,excellent,-0.006021428571428622,0.012638095238095115,stable,COMFORTABLE,False
2018-05-14,0.6383809523809524,1.0,0.22366666666666668,0.5,0.6549999999999999,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,excellent,-0.042961904761904646,-0.046466666666666545,declining,CAUTIOUS,False
2018-05-21,0.6427214285714286,1.0,0.22905,0.5,0.68,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,excellent,0.004340476190476172,-0.04482857142857133,declining,CAUTIOUS,False
2018-05-28,0.5731809523809525,0.5,0.21893333333333334,0.5,0.7033333333333335,1.0,0.5,0.59,"THIN - Limited buffer, elevated transmission risk",,excellent,-0.0695404761904761,-0.11418333333333319,rapidly_declining,DETERIORATING,True
2018-06-04,0.632702380952381,1.0,0.21558333333333332,0.5,0.6233333333333334,1.0,0.5,0.59,COMFORTABLE - Markets can absorb moderate shocks,,excellent,0.0595214285714285,-0.04864047619047607,declining,CAUTIOUS,False
